order_id,sale_date,quantity,unit_price,category,payment_method,item_name,customer_zip
ORD-1092,2026-02-19,,29.99,Accessories,Card,Mouse,10001
ORD-1093,,3.0,19.99,Accessories,Card,Laptop,10001
ORD-1094,2026-02-21,2.0,19.99,Electronics,,USB Cable,10001
ORD-1095,2026-02-14,3.0,,,Mobile,Monitor,90210
ORD-1097,2026-01-20,,99.99,Electronics,Card,Monitor,90210
ORD-1098,,1.0,,Accessories,Card,Keyboard,Unknown
ORD-1099,2026-01-21,,49.99,Accessories,Cash,Keyboard,90210
ORD-1100,2026-01-16,,,Accessories,,Laptop,Unknown
ORD-1101,2026-01-24,3.0,49.99,,Mobile,USB Cable,Unknown
ORD-1102,2026-01-13,1.0,49.99,,Cash,Monitor,10001
ORD-1103,,3.0,49.99,Accessories,Card,Monitor,10001
ORD-1105,2026-01-12,,99.99,Accessories,Card,Laptop,Unknown
ORD-1107,2026-02-14,,19.99,Accessories,Mobile,Monitor,10001
ORD-1108,,1.0,29.99,,,Mouse,Unknown
ORD-1109,,,29.99,,Cash,Keyboard,10001
ORD-1110,2026-02-02,,19.99,Accessories,Cash,Mouse,90210
ORD-1111,,1.0,99.99,Accessories,,Laptop,10001
ORD-1112,2026-02-05,,19.99,Electronics,Mobile,Mouse,Unknown
,,,19.99,Accessories,Card,Monitor,Unknown
,2026-01-04,,,Electronics,Card,Laptop,Unknown
ORD-1115,2026-02-09,,99.99,Electronics,,USB Cable,Unknown
,2026-02-14,,29.99,Accessories,Card,Mouse,Unknown
,2026-01-06,,49.99,Electronics,Mobile,Headphones,10001
ORD-1118,,1.0,29.99,Electronics,Cash,Mouse,10001
ORD-1119,,1.0,99.99,Electronics,,USB Cable,Unknown
ORD-1121,,,99.99,Accessories,Card,Monitor,10001
ORD-1122,2026-02-08,3.0,29.99,Electronics,,Monitor,10001
,2026-02-24,1.0,49.99,Accessories,,Keyboard,Unknown
,2026-02-06,,49.99,Electronics,Cash,Headphones,Unknown
ORD-1125,,,,Accessories,Cash,Headphones,Unknown
ORD-1127,2026-02-28,,29.99,,,Monitor,Unknown
ORD-1128,2026-02-06,3.0,19.99,Electronics,,Keyboard,Unknown
ORD-1129,,3.0,99.99,Electronics,Cash,Monitor,10001
ORD-1130,2026-01-10,,49.99,Accessories,,USB Cable,Unknown
ORD-1131,2026-02-16,1.0,99.99,,Card,Headphones,10001
ORD-1132,2026-02-18,,29.99,Accessories,Card,Keyboard,10001
ORD-1133,,2.0,,Electronics,Card,Mouse,Unknown
,2026-02-04,,29.99,,Card,Monitor,Unknown
ORD-1136,2026-01-30,,49.99,Accessories,Cash,USB Cable,10001
ORD-1137,2026-01-08,3.0,,,Mobile,USB Cable,10001
ORD-1138,2026-01-23,,99.99,,Mobile,USB Cable,Unknown
ORD-1139,2026-01-21,,49.99,Electronics,Card,USB Cable,Unknown
ORD-1140,,2.0,19.99,Accessories,Cash,Laptop,Unknown
ORD-1141,2026-01-29,,19.99,Electronics,Card,Mouse,Unknown
ORD-1142,2026-02-16,2.0,99.99,Accessories,,Mouse,Unknown
ORD-1143,2026-01-12,,,Electronics,Card,Headphones,90210
ORD-1144,,2.0,99.99,,Card,Laptop,Unknown
ORD-1145,,,99.99,Electronics,Card,Headphones,90210
ORD-1147,2026-02-25,3.0,49.99,Accessories,,Mouse,90210
ORD-1148,,,49.99,,Cash,Headphones,Unknown
ORD-1149,2026-02-17,,49.99,Accessories,Cash,USB Cable,Unknown
ORD-1150,2026-02-10,3.0,,Accessories,Card,USB Cable,10001
,,,,Accessories,Cash,Laptop,Unknown
,,3.0,,Accessories,,Keyboard,10001
ORD-1153,,,,,Card,Mouse,10001
ORD-1154,2026-01-02,1.0,,Accessories,Card,USB Cable,Unknown
,2026-02-28,,,,Mobile,USB Cable,10001
ORD-1157,2026-02-01,1.0,19.99,,Cash,Monitor,Unknown
ORD-1159,,,29.99,Electronics,,Laptop,90210
ORD-1161,2026-02-24,3.0,,Accessories,Mobile,Keyboard,90210
ORD-1162,2026-02-10,2.0,99.99,Accessories,,Monitor,Unknown
,,3.0,99.99,Accessories,Mobile,USB Cable,Unknown
,2026-02-06,1.0,99.99,Electronics,Cash,USB Cable,90210
ORD-1165,2026-01-12,,99.99,Accessories,Mobile,Headphones,Unknown
,2026-01-25,,49.99,Electronics,,Mouse,Unknown
ORD-1167,,,,Accessories,,Laptop,Unknown
ORD-1168,2026-02-18,,49.99,Electronics,Mobile,Headphones,Unknown
ORD-1170,2026-01-10,3.0,19.99,,Mobile,USB Cable,90210
ORD-1171,,3.0,99.99,Accessories,Cash,Keyboard,10001
,2026-01-24,,99.99,Electronics,Card,Laptop,Unknown
ORD-1173,,3.0,49.99,Accessories,Card,USB Cable,Unknown
ORD-1174,2026-01-15,,99.99,Accessories,Cash,Keyboard,10001
ORD-1175,,3.0,99.99,Electronics,Cash,USB Cable,10001
,2026-01-24,,,Accessories,Card,Mouse,Unknown
ORD-1177,2026-01-15,,29.99,Accessories,,Keyboard,Unknown
ORD-1178,2026-02-23,,,Accessories,Card,Laptop,Unknown
ORD-1179,2026-01-29,,49.99,Accessories,Cash,Keyboard,10001
ORD-1180,2026-02-11,1.0,49.99,,Mobile,Monitor,Unknown
,2026-01-17,2.0,19.99,Accessories,Card,Mouse,90210
ORD-1182,2026-01-29,,29.99,Electronics,Cash,Keyboard,10001
ORD-1183,2026-02-06,2.0,29.99,Electronics,,Monitor,90210
ORD-1184,2026-02-28,,29.99,Electronics,,Monitor,90210
ORD-1185,2026-03-01,,29.99,Accessories,Mobile,Monitor,Unknown
ORD-1186,2026-01-26,2.0,29.99,,,Keyboard,Unknown
ORD-1187,2026-01-05,3.0,,Accessories,Cash,Keyboard,10001
,2026-03-01,2.0,19.99,,Mobile,Mouse,Unknown
ORD-1189,2026-01-10,3.0,,,Mobile,Mouse,10001
ORD-1190,2026-01-19,,,Accessories,Card,Keyboard,Unknown
ORD-1193,2026-01-29,3.0,49.99,,,Mouse,90210
,,,,Electronics,Cash,Mouse,90210
ORD-1196,2026-02-26,,99.99,Electronics,,Laptop,Unknown
ORD-1197,2026-01-15,,19.99,Accessories,Card,Mouse,90210
ORD-1198,2026-02-08,2.0,49.99,Electronics,,Laptop,Unknown
,,1.0,,Electronics,Card,Headphones,Unknown
