transaction_id,item,total_spent,transaction_date,payment_method,location,price_per_unit,quantity,_s5_reason,_strict_reason
TXN_3578141,Cake,15.0,2023-06-27,,Takeaway,,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_8813311,Juice,15.0,2023-10-07,,In-store,3.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_9023317,Salad,5.0,2023-09-30,,,5.0,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_8051289,,3.0,2023-10-09,,In-store,3.0,1.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_2537617,Sandwich,4.0,2023-05-27,Cash,,4.0,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_9099694,,15.0,2023-11-18,,Takeaway,5.0,3.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_9230615,Smoothie,16.0,2023-06-01,Digital Wallet,,4.0,4.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_4987129,Sandwich,,2023-10-20,,In-store,,3.0,MISSING_PAYMENT,SCHEMA_VIOLATION
TXN_8501819,Juice,6.0,2023-03-30,Cash,,3.0,,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_8427104,Salad,10.0,2023-10-27,,In-store,,2.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_8471743,,15.0,2023-04-06,Digital Wallet,In-store,3.0,5.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_6044979,,1.0,2023-12-08,Cash,In-store,1.0,1.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_4238417,Salad,10.0,2023-06-19,,Unknown,5.0,2.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_3858209,Sandwich,16.0,2023-02-22,Cash,,4.0,4.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_2091733,Salad,5.0,,,In-store,5.0,1.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_8735480,Tea,7.5,2023-06-02,Cash,,1.5,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_1993289,Sandwich,8.0,2023-04-18,,In-store,4.0,2.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_2123367,Cookie,2.0,2023-11-07,,,1.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_5107946,Cake,12.0,2023-12-22,Credit Card,,3.0,4.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_8035512,Tea,4.5,2023-10-29,Cash,Unknown,,3.0,STRICT_NULL_REMOVAL,STRICT_NULL_REMOVAL
TXN_3955361,Cookie,5.0,2023-04-02,,Takeaway,1.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_9487821,,5.0,2023-05-24,Digital Wallet,Takeaway,5.0,1.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_4132730,,5.0,2023-03-12,,In-store,1.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_5455936,,15.0,2023-10-28,,In-store,3.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_2725602,Juice,15.0,2023-09-10,Credit Card,,3.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_3011323,Coffee,6.0,2023-03-07,Credit Card,,2.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_6289610,Juice,S5_REVIEW_REQUIRED,2023-08-07,Cash,Takeaway,3.0,3.0,CURRENCY_FORENSIC,SCHEMA_VIOLATION
TXN_9517146,,25.0,2023-10-30,Cash,Takeaway,5.0,5.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_1621920,Salad,15.0,2023-10-28,,Takeaway,5.0,3.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_7028009,Cake,12.0,,,Takeaway,3.0,4.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_7447872,Juice,6.0,,,,,2.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_9547091,Cookie,3.0,2023-10-08,Credit Card,,1.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_4174591,Tea,6.0,2023-08-30,Digital Wallet,,1.5,4.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_3398520,Sandwich,4.0,2023-02-03,,In-store,4.0,1.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_6171384,Smoothie,8.0,2023-09-12,Credit Card,,4.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_2530938,Smoothie,20.0,2023-04-27,,Takeaway,4.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_3314971,Juice,9.0,2023-05-04,Digital Wallet,,3.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_3092382,Coffee,10.0,2023-02-21,Digital Wallet,,2.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_1001832,Salad,10.0,,Cash,Takeaway,5.0,2.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_1535311,Juice,9.0,2023-03-16,Cash,,3.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_4633784,,15.0,2023-02-06,,In-store,,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_9790731,Cake,6.0,2023-06-02,Unknown,,3.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_9339456,Coffee,6.0,2023-03-29,,Takeaway,2.0,3.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_5179020,Cake,6.0,2023-06-18,,Takeaway,3.0,2.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_7945375,Juice,9.0,2023-01-14,,,3.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_9646452,Juice,15.0,2023-09-16,Credit Card,,3.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_2277042,Tea,1.5,2023-04-08,Cash,,1.5,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_9273729,Tea,1.5,2023-12-19,,,1.5,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_1443912,Juice,6.0,2023-06-08,,,3.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_3972167,Sandwich,20.0,2023-01-23,,In-store,4.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_4878378,Tea,1.5,2023-02-20,Credit Card,,1.5,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_2484241,Cake,9.0,2023-07-19,Digital Wallet,,,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_2368126,Cake,15.0,2023-12-06,,In-store,3.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_7943008,Coffee,2.0,,Credit Card,,2.0,1.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_8495063,Juice,S5_REVIEW_REQUIRED,2023-05-31,Cash,,3.0,1.0,MISSING_LOCATION,SCHEMA_VIOLATION
TXN_4811133,Salad,10.0,2023-08-11,Cash,,5.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_7623634,Cake,,2023-07-11,Credit Card,In-store,3.0,2.0,CURRENCY_FORENSIC,SCHEMA_VIOLATION
TXN_9336980,Salad,20.0,2023-06-06,Cash,In-store,,4.0,STRICT_NULL_REMOVAL,STRICT_NULL_REMOVAL
TXN_3424331,Cake,12.0,2023-01-18,,,3.0,4.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_8687151,Salad,25.0,2023-06-10,Cash,,5.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_4031509,,16.0,2023-01-04,Credit Card,Takeaway,,4.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_5265095,Coffee,2.0,2023-06-23,Unknown,,2.0,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_6541415,,12.0,2023-11-25,Cash,In-store,3.0,,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_4108138,Coffee,10.0,2023-08-03,Cash,,2.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_1909796,Smoothie,8.0,2023-07-12,,Takeaway,4.0,2.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_8013032,Coffee,4.0,2023-03-07,Credit Card,,2.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_8301424,Juice,6.0,2023-06-27,,Unknown,3.0,2.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_1093800,Sandwich,12.0,,Cash,Takeaway,4.0,3.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_7965998,Juice,3.0,2023-11-02,Credit Card,In-store,,1.0,STRICT_NULL_REMOVAL,STRICT_NULL_REMOVAL
TXN_9238666,Cookie,1.0,2023-07-31,Unknown,Takeaway,,1.0,STRICT_NULL_REMOVAL,STRICT_NULL_REMOVAL
TXN_1631695,Tea,3.0,2023-09-19,,In-store,1.5,2.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_1435086,Cake,15.0,2023-02-09,,Unknown,,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_3226832,,20.0,2023-09-04,Cash,Unknown,4.0,5.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_3494565,,8.0,2023-07-10,Unknown,,4.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_4689500,Sandwich,16.0,2023-12-02,,,4.0,4.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_8989148,Tea,,2023-11-25,,,1.5,2.0,MISSING_LOCATION,SCHEMA_VIOLATION
TXN_8316826,Coffee,6.0,2023-04-17,,In-store,2.0,3.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_8005489,Cake,9.0,2023-08-12,,In-store,3.0,3.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_6463132,Cookie,5.0,,Credit Card,Takeaway,1.0,5.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_1896955,Salad,25.0,2023-09-23,,In-store,5.0,,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_5075974,Smoothie,16.0,2023-04-11,Digital Wallet,,4.0,,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_8955912,Sandwich,4.0,2023-11-07,,,4.0,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_8129834,Salad,5.0,2023-07-22,Cash,,5.0,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_3831848,,4.0,2023-11-03,Digital Wallet,Takeaway,4.0,1.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_8166407,Smoothie,8.0,2023-07-26,,,,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_2643815,Cookie,3.0,2023-12-06,Unknown,,1.0,,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_2996519,Cake,15.0,2023-01-19,Cash,,3.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_8810894,Smoothie,4.0,2023-02-20,,,4.0,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_3937509,Smoothie,8.0,2023-03-20,,In-store,4.0,2.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_1714274,Cookie,4.0,2023-12-27,,In-store,1.0,4.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_3800182,Tea,3.0,2023-10-26,Cash,In-store,,2.0,STRICT_NULL_REMOVAL,STRICT_NULL_REMOVAL
TXN_5115080,,15.0,2023-02-18,Credit Card,,3.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_9788956,Juice,12.0,2023-04-11,Unknown,,3.0,,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_6311602,Juice,9.0,2023-05-15,Credit Card,,3.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_6749847,Cake,6.0,2023-08-15,Credit Card,,3.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_2143187,Smoothie,4.0,2023-04-21,,In-store,4.0,1.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_8964522,,9.0,2023-10-28,Credit Card,Takeaway,3.0,3.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_2698591,Tea,7.5,2023-08-05,,,1.5,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_4129248,Sandwich,8.0,,Credit Card,,4.0,2.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_6498163,Smoothie,20.0,2023-07-15,,In-store,4.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_6717827,,15.0,2023-11-15,Digital Wallet,,5.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_9089898,Salad,15.0,2023-01-11,Credit Card,,,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_8587583,Cake,3.0,2023-10-01,,,,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_3499124,,16.0,2023-08-25,Credit Card,,4.0,4.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_7058377,Juice,3.0,2023-04-30,,Takeaway,3.0,1.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_6766492,Salad,5.0,2023-01-14,,Unknown,5.0,1.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_7433461,Cookie,2.0,2023-07-09,Digital Wallet,,1.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_4068262,Salad,10.0,2023-05-13,Credit Card,,5.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_5761073,Cookie,1.0,,Cash,In-store,1.0,1.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_2651216,,12.0,2023-04-04,,,4.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_9350833,Cake,3.0,2023-01-17,Cash,Takeaway,,1.0,STRICT_NULL_REMOVAL,STRICT_NULL_REMOVAL
TXN_8377564,Cake,15.0,2023-07-14,,In-store,3.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_6446616,Tea,4.5,2023-09-30,Unknown,,1.5,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_7077119,,4.0,2023-12-30,Digital Wallet,In-store,4.0,1.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_8562645,Salad,S5_REVIEW_REQUIRED,2023-05-18,,In-store,5.0,,MISSING_PAYMENT,SCHEMA_VIOLATION
TXN_4700144,Coffee,8.0,2023-12-21,,In-store,2.0,4.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_5526852,Sandwich,,2023-09-28,Digital Wallet,In-store,4.0,5.0,CURRENCY_FORENSIC,SCHEMA_VIOLATION
TXN_6846228,Salad,15.0,2023-11-16,,In-store,,3.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_8570890,Juice,12.0,2023-04-14,,,3.0,4.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_3205009,,3.0,2023-01-03,Cash,In-store,1.5,2.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_4530804,Coffee,8.0,2023-01-12,,,2.0,4.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_7328294,Juice,6.0,2023-07-07,Cash,,3.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_1908636,Tea,3.0,,,Unknown,1.5,2.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_9238066,,7.5,2023-09-15,Digital Wallet,In-store,1.5,5.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_5415901,Cake,6.0,2023-10-21,Digital Wallet,,3.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_6714420,,6.0,2023-03-30,Credit Card,Takeaway,3.0,2.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_7549542,Cookie,5.0,,,Takeaway,1.0,5.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_3544789,Tea,S5_REVIEW_REQUIRED,2023-07-14,Unknown,In-store,1.5,4.0,CURRENCY_FORENSIC,SCHEMA_VIOLATION
TXN_8929774,,9.0,2023-10-02,Cash,,3.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_5003018,Cookie,S5_REVIEW_REQUIRED,,Digital Wallet,,1.0,4.0,MISSING_DATE,SCHEMA_VIOLATION
TXN_2534066,Salad,10.0,2023-10-13,Cash,,5.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_7191245,Cake,12.0,2023-05-22,,Takeaway,3.0,4.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_8669422,,12.0,2023-10-15,Cash,Takeaway,3.0,4.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_5043774,Sandwich,12.0,2023-06-08,Cash,,4.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_1746320,Salad,5.0,2023-11-14,Cash,,5.0,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_1077129,Cookie,1.0,2023-09-12,,In-store,1.0,1.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_4865338,Sandwich,16.0,2023-11-26,,In-store,4.0,,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_5616583,Smoothie,4.0,2023-10-13,,,4.0,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_2078474,Cookie,2.0,2023-11-03,,Takeaway,1.0,2.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_2130245,Smoothie,20.0,2023-11-13,Credit Card,,4.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_3229409,Juice,S5_REVIEW_REQUIRED,2023-04-15,Cash,Takeaway,3.0,,CURRENCY_FORENSIC,SCHEMA_VIOLATION
TXN_9076216,Cake,3.0,2023-12-17,Cash,,3.0,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_6371987,Tea,S5_REVIEW_REQUIRED,2023-03-13,Unknown,Takeaway,1.5,5.0,CURRENCY_FORENSIC,SCHEMA_VIOLATION
TXN_9913877,,4.0,2023-05-09,Credit Card,,2.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_1842675,,4.0,2023-06-23,Credit Card,Takeaway,1.0,4.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_8605813,Cookie,1.0,2023-06-30,,,1.0,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_9755352,Sandwich,20.0,2023-05-13,,In-store,4.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_7550498,Juice,15.0,,,In-store,3.0,5.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_2305908,Coffee,8.0,2023-04-25,Cash,,2.0,,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_6953697,,12.0,2023-05-27,,Takeaway,4.0,3.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_3495950,,6.0,2023-02-19,Credit Card,In-store,,4.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_8692094,Coffee,10.0,2023-08-30,,Takeaway,2.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_5307411,Cake,S5_REVIEW_REQUIRED,2023-10-21,Digital Wallet,Takeaway,3.0,3.0,CURRENCY_FORENSIC,SCHEMA_VIOLATION
TXN_9703120,Coffee,6.0,2023-11-02,Credit Card,,2.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_1333682,Smoothie,4.0,2023-01-28,Digital Wallet,,4.0,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_2256622,Cookie,2.0,2023-10-04,Cash,In-store,,2.0,STRICT_NULL_REMOVAL,STRICT_NULL_REMOVAL
TXN_1623966,Tea,3.0,,Cash,Takeaway,1.5,2.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_4942692,Coffee,4.0,2023-01-15,,Takeaway,2.0,2.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_7922392,Sandwich,12.0,2023-05-03,,,4.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_7498727,Salad,15.0,2023-11-06,Cash,,5.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_1222338,Cookie,1.0,2023-10-11,,In-store,1.0,1.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_6878866,Smoothie,12.0,2023-02-25,Credit Card,,4.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_1260335,Cookie,4.0,,Digital Wallet,In-store,1.0,4.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_9223242,Smoothie,8.0,2023-09-10,,,4.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_6244211,Smoothie,8.0,2023-08-11,,,4.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_5446858,,1.0,2023-11-07,Cash,In-store,1.0,1.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_4612864,Tea,4.5,2023-02-14,,,1.5,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_5411381,Cookie,1.0,2023-04-28,,,1.0,,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_3047598,Cookie,1.0,2023-09-06,,,1.0,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_5754317,Coffee,4.0,2023-01-10,Credit Card,Takeaway,,2.0,STRICT_NULL_REMOVAL,STRICT_NULL_REMOVAL
TXN_1726858,Smoothie,12.0,,Cash,In-store,4.0,3.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_4225756,Cookie,3.0,2023-03-10,,In-store,1.0,3.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_8955259,,8.0,2023-11-18,Credit Card,,4.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_4639319,Coffee,10.0,2023-01-09,Cash,,2.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_5997803,Coffee,10.0,2023-12-03,,In-store,2.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_1340956,,8.0,2023-10-26,,,2.0,4.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_8319993,Juice,3.0,2023-08-06,Digital Wallet,,3.0,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_8894157,Sandwich,16.0,,Credit Card,,4.0,4.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_2773987,Smoothie,20.0,2023-01-11,Unknown,,4.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_1158829,Tea,1.5,2023-10-02,Credit Card,,,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_2523298,,6.0,2023-03-25,Unknown,In-store,,4.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_8685737,Smoothie,8.0,2023-11-02,,In-store,4.0,2.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_5634135,Cookie,2.0,2023-01-27,,Unknown,,2.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_1524626,Smoothie,8.0,2023-12-29,Digital Wallet,,4.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
